reviewId,content,score,sentimen
b9ace15d-8a0b-4e3b-a7b3-d58b3c7d0aa4,Aplikasi yang tidak,5,positif
94d48ee8-42c5-480f-af13-387414094690,Risman,5,positif
25948c90-3fa0-4c23-a545-1ab8f301fbc0,"Apk banyak bug kaya game aja benerin bug buru!!! Aku udah update kok di suru update lagi? Itu kenapa ya tolong di benerin sebelum saya marah,kalo saya marah dunia tidak baik baik saja",1,negatif
37c22f12-969e-486c-b131-4a38b449fbc6,Busuk skrng sering kendala,1,negatif
c7343a52-0959-433a-918e-047b3378c19c,"ini kenapa, tiba"" posisi acount sy diluar & mw masuk lg ga bisa ?",1,negatif
a4bea6dd-108f-488b-918d-449fbc7f747a,Gak beres akun dana,1,negatif
a9bd0dec-3e4e-41a4-a3f7-b2d1c6f01773,Ayo ubah ulasan buntang 1 semua. Bubar pake dana.. udah gak becus,1,negatif
d70e2433-5782-4ea3-83d2-74fccbbb75fd,👍👍👍,5,positif
8cdf1eb7-27b9-4c82-ac3a-d866f1a03c9e,"Apk terburuk banyak bug, sering eror dan masih banyak lagi jangan di download ni apk payah",1,negatif
4d6cd67b-fffb-4cb5-8911-ead0e765c12a,Ok,5,positif
c14ef7de-c175-47e2-a95c-e492f1f6c892,padah udah uodet malah kelur sedri gw updt kan y .. sudah gw updet mau masuk eh di auruh updet lagi . ini yang tolol siapa sih . uwang gw bayak di sana woi . babi lama lama ni dana pidah ke apk seblah kali y,1,negatif
fc205a69-e695-4682-872c-57db7cbd1e84,Ini gimana gk bisa login sih,5,positif
43310dfa-a8c0-45a8-8c86-bf69c3a2064f,"Kaya tai susah masuk , aplikasi tai anjing cuih",1,negatif
f6996682-4163-49b2-b65e-39036da9908c,Kurang bagus,1,negatif
8582a2c2-004d-40cb-9f22-cbead3776524,Udah top up Tapi gk bisa buat transaksi,1,negatif
6114b7a9-b1ee-4c9d-88d7-97b27f49f54b,"Tolong lah jangan banyak tingkah ini aplikasi.minta di update ,sudah di updete malah gak bisa masuk.sebenar nya apa sih mau nya ini aplikasi",1,negatif
b27ed2f0-c234-4653-be15-c84960b4b154,"Update mulu bgus kagak makin jelek iya, lelet lagi kaya siput, mana mau transaksi lagi gk bisa masuk, hedeh makin kesini makin ancur ni aplikasi, gk guna update mulu bgus juga kagak anying",1,negatif
d4198c8d-c830-4409-9a00-871e82639a59,Sayaa ga bisa login knp duit masih banyak lagi,1,negatif
cd180c9f-27e1-4e0a-89bc-7a5b01b68cec,dana ngk bisa di buka laporkan ke ojk..kalo ngk saldo kalian bisa hilang..,1,negatif
d7eab1ae-8228-4560-90cf-87b4a4e41930,Mohon diperbaiki secepatnya kok gabisa kebuka dana saya,1,negatif
84796562-b647-4f04-accd-35735b2f5f09,Yang bikin aplikasi tolol,1,negatif
