reviewId,content,score
9e48f629-dba4-428d-acd2-6d3694d6d776,Dana asu. Setiap hari mau narik tunai system sibuk.,1
22441465-dabf-485f-b542-dad65a986564,Kembali aja ke limit lama..... Limit baru terlalu besar jd boros...,1
462034c4-70db-43d3-b05e-07ac3170cf60,Jangan mau pakai dana. Kok bisa bisa dana saya di tarik orang. Walaupun sedikit. Tingkat keamanan nya masih kurang,1
0e1a867f-f879-4a79-beaa-4afb2d82eb9e,"Aplikasi sangat membantu untuk semua masyarakat ,,,dan apliksi dana juga bisa menjadikan proses atau pengiriman lebih muda ibarat kata atm online 😄😀",5
4c426f2a-3f40-4388-b06d-2c4c677e6218,Tolong proses laporan penipuan dgn segera,1
655c32ca-3b53-4efc-8cd1-f16811495923,"apknya ini terlalu berat hgga lama loadingnya baru bisa masuk dg normal unt digunakan, smg ini dpt segera diperbaiki Terimakasih untuk yg bertugas di apk dana teruslah memberi kemudahan yg baik ini , smg sukses baik",5
5f7ba073-12cb-42ad-ab92-e01e4ca7e98c,Eror,1
f9a28bb1-bb50-45db-87ba-d7f15a17f940,luar biasa mudah,5
e3e9110f-99b4-408d-b10e-ff7ad52d56f9,lancar terus 👻,5
c0440631-3dab-4403-b8bf-c2300eb0da0d,Coba dana memiliki kontak yang bisa di hungungi wa atau apa ke biar mudah para pengguna membuat keluhan,2
72991433-7cf7-4e4a-8312-82f1d343bf8b,puas,5
92b33fb9-41e0-4982-859d-8f964983cca6,mantap min,5
d9a1f28e-08a3-4a0a-b5cc-da22d4b4cc73,Makasih dana bisa membantu aku,5
1da8037d-ae6e-43f5-a2eb-279e9f6e59a8,sangat mudah..dan sangat membantu..,5
3095a0a4-e2ad-4822-adb3-1cb12684a4ca,Kenapa selalu mau diupdate,1
0e684d71-8a93-421b-ba63-a641dee60ef9,bguss,5
d9a7582b-23e7-488b-8ef8-26373d78b9c3,bagus,5
bb7bf44e-75f1-4965-a0b2-5c987c787423,Kenapa Aplikasi dana saya tidak bisa digunakan?,3
c2faf157-1e79-49e0-90ec-ce076ef3dd4b,Transaksi cukup mudah dan lancar. pokoknya 👍😁,5
f2395675-555a-4514-8f80-c7f7ac2e9300,"Saya punya akun dana premium tp nomer tlpon hilang, terus knpa padahal sudah saya kasih sandi sama keamanan lainya kok gk bisa dibukak 😒",1
b5675364-151f-4923-b9c4-dffa7fc06d62,Bagus,5
882f3dad-e28e-4bce-b85e-7c1e43efda0a,buat update ke premium aja susah. setiap di live chat ingin melakukan komplain selalu di suruh ulangi lagi 10 menit kemudian. enggk memberi solusi banget. mending ke aplikasi tetangga sebelah aja.,1
62acf07f-b9c3-485d-8a9f-d2ddef93ec41,sangat terbantu,5
aba355c8-5219-4ee4-b385-df3a5b2a40a5,sangat bagus,5
