reviewId,content,score,sentimen,Target_type
a4cb1446-d2d9-477c-afa2-022f0f5a0b05,tidak mmbantu sama sekali sesal saya download,1,negatif,-1
4af72993-dd6d-40ce-93e7-5d38461df6d2,jelek kali sudah lelet tiap yang masuk potong tiap ngirim banyak kali potong kamu mending pakai ovo,1,negatif,-1
395608ab-0bbb-4861-8095-c4c3ed83b54b,parah upgred premium gagal terus di suruh nunggu hari mirip begitu terus padahal uang sudah masuk di tarik tidak bisa di tf juga tidak bisa parah,1,negatif,-1
412f8a1b-0b1b-4ea7-9f79-fae7b02d94da,sangat bantu sekali,5,postif,1
b0a268dc-1fb8-4882-81d5-34271b7f0a37,baik sekali,5,postif,1
1e00a663-47b3-4481-bda2-b7b0a116428e,tanya tanya,5,postif,1
0a88e19d-65f5-425d-8fd3-2a48fc932fab,top bangeeeeet pokokeeee,5,postif,1
6b53419e-67b0-4b52-9172-bc9b8d590b95,top up dana tidak masuk selesai masalah nya lama sekali chat live nya juga tidak ada ngadu ke robot sama saja ngadu ke pohon tidak rekomendasi unisntal saja,1,negatif,-1
1128d7ad-652f-475b-a01a-3e1cb53677f0,sekarang agak lambat ketika mau masuk app dana,4,positif,1
511c2207-245a-4d82-9554-66a8e6133b0c,terima kasih sudah bantu sayah jadi ringan buat semua yang cyah butuh,5,postif,1
f9aed7a3-63d3-4d61-88df-0c7f6abfa6be,bagus,5,postif,1
21a3963b-2b04-41b7-8077-c321b9df3465,sangat bantu sekali dana ini,5,postif,1
6775d79c-e227-41cd-834e-6e69e761b1cb,baru pakai sudah buat puyeng sulit transfer gagal selalu notifnya status bank salah,1,negatif,-1
56148ec6-7d0b-40e0-b54d-dd9c2c96049b,good,5,postif,1
b7034275-1da5-4507-bd05-61979252f9ca,aplikasi tidak bagus kecewa,1,negatif,-1
a9cbc2b3-6a8d-421d-a14e-079a34a40fb0,puas,5,postif,1
940b46fc-ca6c-448e-9a5c-d51dfda5be5d,pokok terima kasih buat di a n a,5,postif,1
316565db-4128-4f1a-b03d-b236061888e8,sudah hari tidak bisa transfer isi notifnya sistem sedang sibuk sudah pakai cara update aplikasi da lain tetap tidak bisa tolong di baik cepat ya,3,netral,0
3bea1369-c61b-497d-aac1-f2c37b4d6786,bagus,4,positif,1
6047e150-d8df-4c06-9443-91f4dd9d40d4,bagus,5,postif,1
06925b78-b72a-477a-82e3-e18ea7dae8ee,makin kesini makin kacau muncul saldo saja lama sangat,1,negatif,-1
686f2217-dda0-44b9-9677-f61587ebd56f,bagus,4,positif,1
26346bc7-58a9-4015-911b-83592b887e7c,good tanya tanya tanya tanya untuk semua trx sangat mudah tidak ada kendala apa tanya tanya saran saya untuk login ke akun dana kalau bisa jangan langsung guna nomor hp soal sudah banyak disalahgunakan oleh pihak lain alternatif sihh guna id username pada saat mau login,5,postif,1
a3c22d16-46f6-46cc-9639-ab4d52e2a026,mantap tanya tanya,5,postif,1
5e7e5bc7-d67c-4d2a-bbaa-ccc75386c564,mantap,5,postif,1
434f40a0-c188-4ec0-aa81-cb299e869adc,good,5,postif,1
d5164dbd-0423-4124-8e21-d957c9db7094,tidak jelas,1,negatif,-1
84f81638-991d-4f8f-947e-3dda4c8817f4,mantap,5,postif,1
7fafa769-9d6c-46a9-8cc7-04fb05a3eab8,ok,5,postif,1
40036f06-31fc-4260-9404-367dfc2d0b6e,jempol tanya tanya,5,postif,1
15a3570a-18ae-40ac-ab94-d92f47c0e6d0,sangat bagus pkoknya,5,postif,1
43a57b35-e8b1-4c9f-81ed-4d116dea5308,baik,5,postif,1
8c39f2d6-606c-40f7-a0b0-1be286f2dad4,good,5,postif,1
154c9407-e205-4cb0-8a26-5ad60127c3af,aplikasi jelek sekali masa mau res pin saja tidak ada respon mending hapus saja aplikasi nya kalau tidak mau respon tidak usah di pasarin,1,negatif,-1
b8a1208c-4d3e-412f-a3d7-6bbfa31ebe7a,good job,4,positif,1
ffd1a118-cb07-46f6-a866-3070bdf699df,ribet bangt lagi penting ada saja upgrad susah lagi itu benar data saya fto selfi saya lambat bangt coba besok coba tahun lagi sebelumya lancar,1,negatif,-1
d285ce01-a49a-4053-8221-a4e7206f6676,bagus,5,postif,1
cd9ccf78-ae29-4820-85bc-87269ff441d0,mohon baik lagi sistem,5,postif,1
9c9733f7-e9fe-4357-8e0e-13b9d0a538d2,sangat manfaat,5,postif,1
0a0c3585-3bfd-4f27-a3f2-9092a3a155a3,pindah akun tidak bisa opsi lain verifikasi malah tidak ada,1,negatif,-1
0b705721-4f1d-407e-b7e3-a4df8e85cba6,lemooooooottttt sekali server sibuk terus bikin emosi,1,negatif,-1
b5de0bb1-0662-423c-8e29-8c46b99ae6f0,baik kemarin skarang suka gagal tarik apa sedang ganggu,3,netral,0
10d8a234-924e-4881-b6cb-0b49c4042e2a,apa apakah dana ini saya top up tanggal mei jam sampai sekarang belum masuk ini aplikasi apa sih tipu nih balikin duit saya dana yang saya sudah email terus ke pusat bantu dana tidak ada respon sama sekali njir tanya tanya tanya tanya tanya tanya,1,negatif,-1
e6220dd6-f8b7-4707-ae7d-9ba4aeacb4ff,akun dana saya tidak bisa laku transaksi,3,netral,0
7e110ec8-37b0-4199-bb9c-784865aa77b6,tidak bisa conflin hadiah,5,postif,1
a8609211-139d-4943-af5f-44fbe4c8f850,bagus,5,postif,1
ed50622e-3c95-4e9e-83e6-0bf016f88f9c,akun dana saya tidak bisa buka cs bisa bantu untuk pulih,1,negatif,-1
f3cf3d4d-9218-4778-9cbc-68d4e8fe1082,kenapa saya tidak bisa download dana,5,postif,1
1733449d-1bb6-462e-a9b8-bd35a530c663,sangat muas proses cepat,5,postif,1
2a713062-d5c4-4cd1-983b-7ea23a064495,parah sekarang pakai dana dompet digital otewe uninstal,1,negatif,-1
9f6a40b4-ca7d-4e51-8109-e55a2508f16c,bagus,5,postif,1
adee68f3-109f-4603-b414-6680714901cb,selamat siang pihak dana saya ingin tanya serta ingin minta bantu kenapa ya dana saya tidak bisa loginn tiap ingin daftar selalu ada kalimat yang seperti ini akun belum bisa di pakai sudah hampir bulan selalu begitu mohon bantu terima kasih,1,negatif,-1
510d1638-0d28-4b1e-9bb6-1ecc123db95b,kenapa saya daptar dana premium gagal terus,1,negatif,-1
8dfb4530-6ae1-4b3b-98ee-9db8e355c914,sangat puas,5,postif,1
be93da56-9daf-458c-93fc-5baf8d055516,aplikasi tidak bisa di buka,1,negatif,-1
5287620a-4c04-4782-9dff-ef1628bfe36f,mantap,5,postif,1
b826f880-f03d-42c3-8d93-e215eeabb95f,sangat batu dan praktis,5,postif,1
4819d62b-5f76-47e1-a5b3-f2f7b2905c1f,sangat bagus,4,positif,1
e7c6a3ff-02cd-4e70-9f56-89859a76bad5,sudah pakai gratis transfer tetapi tetap kena admin,3,netral,0
ac9ae54f-3715-4b7a-9e4b-d3bb5d24f827,simple,5,postif,1
017aef75-a929-4653-b21b-84655718dd41,ok,5,postif,1
b4acae0f-9355-4029-827b-e00a8efa6151,pakai dana lebih cepat lebih mudah transaksi mantapp,4,positif,1
c91b505f-ea52-4d84-a694-528f033a0f3d,alhamdulillah lancar,5,postif,1
62076b8d-d3bf-4db6-9d4f-403835047e19,kata teman saya game perang kok tidak ada menu mai gimana sih,1,negatif,-1
9b30471e-1aae-4c0b-987b-68f3ecefcd06,sangat bermanpaat simple,4,positif,1
896b3bc8-f581-4a6e-878f-cff0480533b6,mantap tanya tanya tanya tanya,5,postif,1
63b86645-743e-4f2c-afda-4e2da153da95,lot ampun ampun sudah,3,netral,0
02414eaa-be40-4984-8b84-d78bd2ad6daf,dana saya hilang ketika jangan guna ini karena tidak aman,1,negatif,-1
13b02b5f-ecf5-4099-a577-b5fc304d68ee,top upnya mohon di tambah,5,postif,1
00918bf0-9cd8-4cad-80a6-ae50530c4648,bagus,5,postif,1
a902f433-bd11-48ce-8c71-828576e0420a,kamu tanya,5,postif,1
5490132f-d672-4e72-8e4e-059fecdf35c8,tanya tanya,5,postif,1
8a97cf5c-aecb-4d64-85dc-912c27470160,aplikasi busuk beli token sini ganggu terus tokennya tidak muncul,1,negatif,-1
ff1aecfe-9de5-4f61-b785-4d65c8e0aed2,sangat bantu dan tidak ribet,5,postif,1
e2f290e9-c21c-43e3-8d9b-99a8cd472438,top lah,5,postif,1
72019992-d49a-46b9-bcf8-ebef944abf03,bagus aplikasi tidak ribet juga kalau mau transfer lebih gampang,5,postif,1
84144642-ca85-4d86-8c41-bc7a16d8c9c2,baguss tahan,5,postif,1
c6857095-9874-47e5-a58a-e68d7c73217d,kenapa suka ngelek saldo tidak lihat,3,netral,0
4e0661a2-3fc8-4769-a4ef-22a55b5825cc,harus lebih simple lagi,5,postif,1
e6111708-00d8-4c04-84d7-c9ce213fd439,lama sangat dari kemarin tidak bisa masuk karena lupa pin sampai sekarang belum juga di tanganin tunggu tunggu saja dari kemarin,1,negatif,-1
0352f93b-5e3c-41ac-9c9e-b42fd8fa4e03,tidak sesuai butuh lagi dana lot tidak usah pakai aplikasi ini lagi,1,negatif,-1
30e90a1b-29e9-489b-9b2f-284229149f8f,sangat bantu,5,postif,1
4f0d571d-a8d3-4e8d-9675-5971b3ab6d50,gg,5,postif,1
e09f3a9d-e0a5-477b-ba58-6b874dd1becf,saya sudah percaya sekali sama ni apakah tetapi sayang entah kenapa ini apakah uang trasperan saya tidak di proses sampai sekarang lama sekali kalau boleh tahu kantor di mana sih ini,1,negatif,-1
a0289ef0-4ca7-4f15-9cc7-3c90c8509a6a,top,5,postif,1
1799d735-c3b7-4700-8206-65c204377964,ko saya mau tukar jadi pulsa tidak bisa yya malah loading terus tidak selesai selesai,1,negatif,-1
2f4705b9-fca4-474e-8a38-604bd9fe3704,okk,5,postif,1
ae8e7bb8-afa6-4609-aebc-9cbfbb85a1bc,makasiiih dana,5,postif,1
3719e604-6373-4ad5-bb19-744d4e7a2516,gimana ini uang saya hilang kata apakah resmi di awas ojk dan kominfo tetapi ko uang saya hilang tidak ada tanggung jawab nyesal saya pakai dana,1,negatif,-1
0947f409-e6e4-493f-bdcc-549d2ee891a1,kirim uang terang nya hasil tetapi di bank yang sangkut nya tidak masuk,1,negatif,-1
d956fbd0-ad09-4da9-b99a-167daeb952ea,jika,5,postif,1
f3a49e8a-05f9-4246-884c-7819b0afd6d2,bagus,5,postif,1
ea11106f-5a8a-4fc2-8ba6-5e040e7cb4b8,mohon y a bapak dana saya yang beku kembali agar saya pakai kembali lagi,5,postif,1
5554b3fa-5fbe-469c-a6b7-435eee403e4b,majos tenan,5,postif,1
045d8d27-83d6-4256-a3d3-c51ec9d8681e,saya mau aktif lagi dana dengan nomor telepon yang sama tetapi tidak bisa akun sudah di guna bagaimana cari aktif lagi,5,postif,1
8d47e2aa-930c-4393-9e24-9fb59cd470d2,ok,5,postif,1
349336c8-7a9f-4ef1-b8c7-6eee9ac2f92f,aplikasi nya tidak guna sekali saya kali kali daftar ke premium tidak bisa bisa juga saya sudah coba puluh kali tidak bisa juga sampai saya hapus saya download lagi saya mau ambil uang di dana buat beli sepatu tidak busa terus saya gin stres sekali,2,negatif,-1
658ed3b2-24fa-482c-bba3-bb872cbbab82,sangat bantu dan mudah di guna,5,postif,1
093ece59-5a7b-4eb9-9f1a-8e52d67df02f,mantap,4,positif,1
26242407-a989-4bd2-b62e-b5b41a8c7079,pakai dana semua jadi mudah tanya,5,postif,1
803f4c79-da1c-453f-a28c-cf8b640d2c99,ok,5,postif,1
df0e6a44-a871-4292-93c7-41c75964eb29,selalu saja alami hal yang tidak enak top up kapan masuk kapan sudah di report direspon kapan hanya minta maaf padahal saya sudah rugi banyak karena masalah itu,1,negatif,-1
ef6e23bb-0c49-4c73-ac39-9337274ec27d,sangat guna,5,postif,1
86b9150b-380c-4fa3-b0d3-b8406f9d5b42,jelek tidak bisa masuk padahal sudah punya akun,1,negatif,-1
ae1a9565-717f-4b62-903f-6b6971116f72,sangat bantu adaya dana,5,postif,1
f3face6e-de48-44ac-be52-4768ff409055,cara masuk pin dana gimana ya,1,negatif,-1
9930b088-33ac-4e71-bc0b-bee03e4bc8b9,kenapa tidak bisa daftar akun baru dana ini sangat kecewa sekali,1,negatif,-1
da54317e-0255-4bff-afdf-8b942e63c826,nyata yang penting,5,postif,1
e57fd1a6-8386-4695-ade4-2b822b38f51e,mantaap,5,postif,1
8f9cde64-3104-4c35-b0aa-836cb4e9a10f,mantap,4,positif,1
4f5c8b18-84de-4252-841f-726c0532b803,mudah segala aktivitas,5,postif,1
118a3972-a3df-44c4-b16e-ea66d520f945,sanjay bantu,4,positif,1
be1ad4d6-1433-4dbf-a34f-e3df7bdf3434,mantap,5,postif,1
ef87075b-a201-4c3c-bc37-10a4a0950240,membntu,5,postif,1
38dc18c7-605f-4d5f-b4e0-35adfd18ee34,mataap tanya tanya,4,positif,1
028fc5fb-f615-447f-a4a6-694b0c0bd91f,mantap,5,postif,1
abe641c7-083b-4bb2-b7e4-4f85d50c4a4c,saya suka,3,netral,0
27f49ddc-2be5-49da-85f3-b3a6f49173e6,ribet mau premium saja sudah masukin foto kartu keluarga yang bawah mb saja tidak bisa bisa sampai stengah jam buset,1,negatif,-1
36c1d276-5817-4790-ac4f-d22dca499c87,mantul,5,postif,1
4164d757-3f03-47d1-86a5-8b1c07e25974,tolong dong min ko login sering keluar baca updet pas mau di updet di play stor tidak ada yang mau di apded saya kasih bintang dulu kalau bisa saya kasih yang baik,1,negatif,-1
13f55480-d9ca-4538-a1b2-9a3d365b58b7,dana baik sekali tanya tanya tanya tanya tanya tanya tanya tanya tanya tanya,5,postif,1
7b8f67b2-f7ae-4d65-b43d-b697e71e03dd,sangat baik tanya tanya,4,positif,1
47fcfbfa-6365-417e-b6ad-73a0e661cd08,parahh upgrade premium nya susah benar,1,negatif,-1
5b98c9c5-d8c7-4352-b756-c47d9592bdce,saya lupa pin tetapi tidak dapat arah pasti dari pihak dana malah di abai dan tidak di peduli mohon bantu nya saya sudah top up tetapi tidak bisa di tarik lagi karena harus guna pin tolong di bantu tanya tanya,1,negatif,-1
a967c6c8-c582-46fd-8183-3565922e81e3,makin kesini makin tidak jelas proses transfer saja sampai jam kan aneh sudah mah itu uang nya saya mau pakai eh malah harus nunggu jam lawakkkkkk tanya tanya,1,negatif,-1
71b0592a-f998-453f-9679-33d6a6a0b5dd,mantaap,5,postif,1
da0cdf15-ffe7-4a21-9541-5c95babb097b,mantap transaksi makin mudah,5,postif,1
bb73731b-d305-4bb0-a153-e9d044ee6d4f,terlalu banyak bug sistem,1,negatif,-1
13c7bb8d-e243-4654-a7ed-dbd267192b1d,ini aplikasi bagus,5,postif,1
d1d3dc91-6fdc-474a-9226-a5aa571e7845,aplikasi nya bantu tetapi bagai langgan aktif saya tidak dapat thr huhu bang jago saja dapat hehe,5,postif,1
c7c1c909-eafc-4394-b04a-59cdfebab2bf,ok,5,postif,1
d2b9b89e-b09e-4aed-a6be-40ec4566e9fc,verifikasi selalu gagal padahal ktp asli,1,negatif,-1
adeee364-251b-44d0-b1b0-9c4eaca805f2,ok,5,postif,1
c7461877-73b8-479a-85f8-05bef5a94677,nomor hp hilang susah jad premium parah email dan lain lain tidak bantu,1,negatif,-1
00d326af-65a9-4420-b1ef-4f4b1d7b9f8c,ngisi paket data tidak masuk masuk tetapi saldo sudah potong,1,negatif,-1
d71a924d-0bdd-4bee-9a11-214ffeaf85a5,good,5,postif,1
e5c28a32-e573-4095-9c92-744546be0313,good,5,postif,1
325fadad-a6ff-4b5a-9cec-f87b4f83d6e4,sangat bantu dan mudah di harap aplikasi ini bisa beri pinjam online tanya tanya tanya tanya tanya tanya,5,postif,1
ca98b791-f570-4c7e-a99b-2a544d17ce8e,sering error susah kirim lewat qiris nominal saldo tidak lihat jumlah nya,1,negatif,-1
e49fb94c-3787-4c10-bd58-36c8870fa3a1,mantappppp,5,postif,1
4a694b3c-c95d-48f4-86a8-a7c74bf566a3,saya sangat senang sekali transaksi pakai dana,5,postif,1
ffec55d6-2bce-4e54-9c1d-b2765bd5c225,bagus,5,postif,1
9378ad26-a45b-475c-a2e3-6bbf41f85f3d,dari kemarin verifikasi gagal terus padahal foto e ktp sudah jelas terus kenapa tera koneksi sinyal tidak ada padahal sinyal bagus custemernya juga tidak bisa hubung jadi ragu nyimpen uang ke aplikasi ini,2,negatif,-1
e18e5daa-55f2-459c-8ba7-b3a53a29732e,tidak bisa di buka,1,negatif,-1
cd68f189-180e-4484-abca-14499de37171,great app mudah dan murah biaya tanya tanya,5,postif,1
d33b1ea7-f8fc-4157-80a9-cafea83f4051,kok gaka ada bank syariah mandiri ya,5,postif,1
c794fa76-7d68-4b50-aa2e-930a06b77536,tidak bisa masuk padahala uang saya lumayan,2,negatif,-1
d3cd7000-ec78-4031-a057-f66629fbb879,mau tarik saldo sudah tidak bisa padahal belum pernah tarik saldo,1,negatif,-1
30fcfcc9-ca87-4f41-83a5-b1e143e6a1ca,sangat bantu,5,postif,1
96b895c2-73ba-4ecd-9624-83e0ed7aa354,top,5,postif,1
7e58077b-93eb-4756-84ae-927bcc3214e0,lot parah aplikasi ini makin kacau,1,negatif,-1
06d8c98d-b263-4fe7-91ee-839876352a28,gimna ini akun dana saya tidak bisa di buka ini,5,postif,1
7abf8448-3dc3-49db-920e-fc99723be42c,ok,5,postif,1
8afa0082-1214-4c0b-84ff-af88b5634cfe,bagus sekali,5,postif,1
576ec8b6-c143-4c42-ad1e-6bd0322d79d7,tanya tanya tanya tanya tanya tanya,5,postif,1
a8c33d0e-ccfa-4820-b8e9-74957fa3d1c7,good,5,postif,1
10794163-939a-436a-a003-21440c5e0844,luar biasa,5,postif,1
4d93ca0c-42be-4a7e-b270-8f66f74bee33,memang pakai dana lebih mudah kirim ke mana,5,postif,1
c664175f-0f0c-4bf5-a32a-abc67ce4627a,aplikasi uang dana transfer cepat proses nomor biaya sukses selalu dana,5,postif,1
038d8cd2-0c62-40e5-b42b-4f8bd963dbb9,beli hitam google tetapi tidak masuk di google tidak ada tulis transaksi di dana hitung sudah transaksi uang potong pihak google tidak sama sekali terima transaksi pihak dana kata sudah potong yang salah siapa tanya saya urtkan beli tanya cs dana disruh tanya cs google padahal sudah di tanya google kata tidak sama sekali ada beli dan historis,1,negatif,-1
2a441beb-8325-4086-b2e8-da0695f023b4,lebih gampang dan praktis,5,postif,1
df0a0eb0-ebeb-4913-8ef1-df2096d2361b,ko dana saya gbisa di buka yah,1,negatif,-1
91a07011-a137-4ce9-8af6-edfe26a7aa88,sangat puas,5,postif,1
28759b1c-cf89-4a40-9fa6-0a5baf7636cc,pernah bayar pakai dana beli paket kuota di myxl terang hasil tetapi di myxl tidak masuk jadi sedikit hilang percaya di dana uang tidak kembali total ribu,4,positif,1
3117110b-0df5-4ba4-ba3e-668bfce60365,pp,3,netral,0
3e992c0c-b239-47c6-b2eb-45a7b1c67a21,bagus si tetapi tidak ada isi bagi dong,5,postif,1
01b776ce-6f54-4091-a067-4adc71f1af92,harus lebih cepat,5,postif,1
4ef05fe0-5029-4ac8-b80d-32149cbdc5d4,sangat bantu dalam proses dalam terima beri,5,postif,1
b50bf101-e3dc-4bfb-af92-3b80be93cb76,lama ini bagus saya suka,5,postif,1
7e354b57-907a-4338-aac8-b88aaab51480,mantap,5,postif,1
56370b6d-2cf8-44b5-9770-f2056186abcd,bagus bantu banger,3,netral,0
c1f99643-a70a-42ac-ab35-268eeea953f9,baik,5,postif,1
7cc02abe-34bf-434d-ba3d-08ff6483b6cd,top up bisa tetapi di pakai transaksi tidak bisa kata belum premium gilir mau upgrade ke premium harus nunggu dekade mungkin seru seru,1,negatif,-1
91d70a6d-5630-4fcd-b8c9-fd3935da58b2,sangat bagus,5,postif,1
77419cba-62b5-4164-8d73-036a9902d745,tidak jelas sekali sudah ulang ulang kali apus download tetap saja suruh update versi baru terus ingin ganti pin susah sekali tidak jelas respon admin juga lama,1,negatif,-1
1ffcf2b6-0caf-4b99-8e6c-320a84ef2d48,jangan mau pakai dana saya juga hilang uang tiba tidak di ganti sama sekali tidak ada tanggung jawab nya padahal saya tidak transaksi apa pantas rating komenan nya jelek perbaikin aman nya jangan asal bikin apalikasi rugi orang lain,1,negatif,-1
